[INFO] [1788235458.912838211] [plain_slam_web_bridge]: display-only bridge: /go2w/slam/map_3d + /go2w/slam/aligned_scan -> /home/mxt/robotscene/outputs/autonomous_search/runtime/slam_map_3d.json (target_frame=pslam_odom, odom_topic=/go2w/slam/odom_base)
[INFO] [1788235860.910849788] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235860.742 target=pslam_odom points=7695 pose=(1.042,-3.454,-0.157) dyaw=-0.0000 stationary=True accumulated=8602 dropped=none
[INFO] [1788235866.912365166] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235866.741 target=pslam_odom points=7695 pose=(1.041,-3.454,-0.157) dyaw=0.0001 stationary=True accumulated=8603 dropped=none
[INFO] [1788235872.911157844] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235872.742 target=pslam_odom points=7694 pose=(1.040,-3.454,-0.157) dyaw=0.0001 stationary=True accumulated=8608 dropped=none
[INFO] [1788235878.915137161] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235878.741 target=pslam_odom points=7695 pose=(1.041,-3.455,-0.157) dyaw=-0.0000 stationary=True accumulated=8609 dropped=none
[INFO] [1788235884.909453735] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235884.741 target=pslam_odom points=7695 pose=(1.041,-3.455,-0.157) dyaw=-0.0000 stationary=True accumulated=8612 dropped=none
[INFO] [1788235890.915568331] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235890.742 target=pslam_odom points=7695 pose=(1.041,-3.455,-0.157) dyaw=0.0002 stationary=True accumulated=8614 dropped=none
[INFO] [1788235896.912124144] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235896.742 target=pslam_odom points=7696 pose=(1.041,-3.454,-0.157) dyaw=-0.0001 stationary=True accumulated=8616 dropped=none
[INFO] [1788235902.913526263] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235902.742 target=pslam_odom points=7693 pose=(1.042,-3.455,-0.157) dyaw=0.0000 stationary=True accumulated=8619 dropped=none
[INFO] [1788235908.910697776] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235908.742 target=pslam_odom points=7695 pose=(1.041,-3.455,-0.157) dyaw=-0.0000 stationary=True accumulated=8620 dropped=none
[INFO] [1788235914.908970909] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235914.742 target=pslam_odom points=7694 pose=(1.041,-3.455,-0.157) dyaw=0.0002 stationary=True accumulated=8624 dropped=none
[INFO] [1788235920.937633250] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235920.742 target=pslam_odom points=7696 pose=(1.039,-3.455,-0.157) dyaw=0.0000 stationary=True accumulated=8625 dropped=none
[INFO] [1788235926.912954892] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235926.741 target=pslam_odom points=7697 pose=(1.041,-3.455,-0.157) dyaw=-0.0000 stationary=True accumulated=8626 dropped=none
[INFO] [1788235932.911281267] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235932.742 target=pslam_odom points=7696 pose=(1.041,-3.454,-0.157) dyaw=0.0001 stationary=True accumulated=8626 dropped=none
[INFO] [1788235938.912476287] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235938.742 target=pslam_odom points=7692 pose=(1.041,-3.455,-0.157) dyaw=0.0002 stationary=True accumulated=8628 dropped=none
[INFO] [1788235939.564595163] [plain_slam_web_bridge]: reset marker touched -> cleared accumulated cloud
[INFO] [1788235944.914287407] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235944.742 target=pslam_odom points=7692 pose=(1.040,-3.455,-0.156) dyaw=-0.0001 stationary=True accumulated=3728 dropped=none
[INFO] [1788235950.911241322] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235950.741 target=pslam_odom points=7694 pose=(1.041,-3.455,-0.157) dyaw=-0.0002 stationary=True accumulated=3942 dropped=none
[INFO] [1788235956.912390954] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235956.742 target=pslam_odom points=7694 pose=(1.041,-3.454,-0.157) dyaw=-0.0001 stationary=True accumulated=4034 dropped=none
[INFO] [1788235962.911280428] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235962.742 target=pslam_odom points=7694 pose=(1.040,-3.454,-0.156) dyaw=0.0000 stationary=True accumulated=4085 dropped=none
[INFO] [1788235968.911650198] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235968.742 target=pslam_odom points=7696 pose=(1.040,-3.455,-0.157) dyaw=-0.0001 stationary=True accumulated=4120 dropped=none
[INFO] [1788235974.914245415] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235974.742 target=pslam_odom points=7692 pose=(1.041,-3.455,-0.157) dyaw=0.0001 stationary=True accumulated=4147 dropped=none
[INFO] [1788235980.915890999] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235980.742 target=pslam_odom points=7694 pose=(1.040,-3.455,-0.157) dyaw=-0.0001 stationary=True accumulated=4167 dropped=none
[INFO] [1788235986.910440033] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235986.742 target=pslam_odom points=7689 pose=(1.040,-3.455,-0.157) dyaw=-0.0000 stationary=True accumulated=4191 dropped=none
[INFO] [1788235992.911066276] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235992.742 target=pslam_odom points=7695 pose=(1.041,-3.456,-0.157) dyaw=-0.0000 stationary=True accumulated=4289 dropped=none
[INFO] [1788235998.906618781] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235998.742 target=pslam_odom points=7686 pose=(1.049,-3.461,-0.159) dyaw=-0.0002 stationary=False accumulated=4757 dropped=motion_active
[INFO] [1788236004.940293522] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236004.742 target=pslam_odom points=7683 pose=(1.046,-3.455,-0.160) dyaw=-0.0001 stationary=True accumulated=5033 dropped=none
[INFO] [1788236011.017278489] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236010.843 target=pslam_odom points=7683 pose=(1.046,-3.455,-0.160) dyaw=0.0002 stationary=True accumulated=5074 dropped=none
[INFO] [1788236017.015062956] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236016.843 target=pslam_odom points=7687 pose=(1.047,-3.454,-0.159) dyaw=0.0000 stationary=True accumulated=5091 dropped=none
[INFO] [1788236023.014290028] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236022.842 target=pslam_odom points=7692 pose=(1.047,-3.453,-0.160) dyaw=-0.0001 stationary=True accumulated=5104 dropped=none
[INFO] [1788236029.013241899] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236028.842 target=pslam_odom points=7682 pose=(1.047,-3.454,-0.160) dyaw=0.0000 stationary=True accumulated=5122 dropped=none
[INFO] [1788236035.011368022] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236034.842 target=pslam_odom points=7683 pose=(1.047,-3.454,-0.160) dyaw=-0.0000 stationary=True accumulated=5130 dropped=none
[INFO] [1788236041.012450548] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236040.842 target=pslam_odom points=7684 pose=(1.047,-3.455,-0.159) dyaw=0.0000 stationary=True accumulated=5134 dropped=none
[INFO] [1788236047.010632122] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236046.842 target=pslam_odom points=7682 pose=(1.047,-3.454,-0.160) dyaw=0.0001 stationary=True accumulated=5142 dropped=none
